👑黑龙江地方,#genre#
黑龙江卫视,http://39.135.133.173:80/wh7f454c46tw658731441_1360817342/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江都市标清,http://39.134.66.48:80/wh7f454c46tw3020728159_1783544358/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226427/index.m3u8
黑龙江农科标清,http://39.134.66.53:80/wh7f454c46tw3029816425_1260996716/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226492/index.m3u8
黑龙江新法标清,http://39.134.66.47:80/wh7f454c46tw3038337375_176734578/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226368/index.m3u8
黑龙江影视标清,http://39.134.66.53:80/wh7f454c46tw3049303400_637220324/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226365/index.m3u8
黑龙江文体标清,http://39.134.66.51:80/wh7f454c46tw288451079_285584823/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226424/index.m3u8
黑龙江少儿标清,http://39.134.66.49:80/wh7f454c46tw3034359550_299051479/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226371/index.m3u8
黑龙江农科HD,http://39.134.65.194/PLTV/88888888/224/3221225994/1.m3u8
黑龙江文体HD,http://39.134.65.239/PLTV/88888888/224/3221225965/1.m3u8
黑龙江新法HD,http://39.134.65.207/PLTV/88888888/224/3221225967/1.m3u8
黑龙江影视HD,http://39.134.65.207/PLTV/88888888/224/3221225973/1.m3u8
黑龙江都市HD,http://39.134.65.196/PLTV/88888888/224/3221225969/1.m3u8
黑龙江少儿HD,http://39.134.65.247/PLTV/88888888/224/3221225979/1.m3u8
黑龙江农科BQ,http://39.134.67.110/PLTV/88888888/224/3221225998/1.m3u8
黑龙江文体BQ,http://39.134.65.196/PLTV/88888888/224/3221226012/1.m3u8
黑龙江新法BQ,http://39.134.65.207/PLTV/88888888/224/3221225992/1.m3u8
黑龙江影视BQ,http://39.134.65.207/PLTV/88888888/224/3221225971/1.m3u8
黑龙江都市BQ,http://39.134.65.194/PLTV/88888888/224/3221225990/1.m3u8
黑龙江少儿BQ,http://39.134.65.207/PLTV/88888888/224/3221226002/1.m3u8
